"Tipo_Aloxamento";"Ano";"Numero_Establecementos";"Area";"Area.1"
"450";NA;"2010";19;"AARZUA";NA
"451";NA;"2011";22;"AARZUA";NA
"452";NA;"2012";26;"AARZUA";NA
"453";NA;"2013";13;"AARZUA";NA
"454";NA;"2017";16;"AARZUA";NA
"455";NA;"2018";17;"AARZUA";NA
"456";NA;"2019";17;"AARZUA";NA
"457";NA;"2020";19;"AARZUA";NA
"458";NA;"2021";20;"AARZUA";NA
"459";NA;"2022";20;"AARZUA";NA
"460";"Albergues turísticos";NA;NA;"AARZUA";NA
"461";NA;"2003";NA;"AARZUA";NA
"462";NA;"2004";NA;"AARZUA";NA
"463";NA;"2005";NA;"AARZUA";NA
"464";NA;"2006";NA;"AARZUA";NA
"465";NA;"2007";NA;"AARZUA";NA
"466";NA;"2008";NA;"AARZUA";NA
"467";NA;"2009";NA;"AARZUA";NA
"468";NA;"2010";NA;"AARZUA";NA
"469";NA;"2011";NA;"AARZUA";NA
"470";NA;"2012";13;"AARZUA";NA
"471";NA;"2013";12;"AARZUA";NA
"472";NA;"2017";19;"AARZUA";NA
"473";NA;"2018";21;"AARZUA";NA
"474";NA;"2019";22;"AARZUA";NA
"475";NA;"2020";24;"AARZUA";NA
"476";NA;"2021";25;"AARZUA";NA
"477";NA;"2022";26;"AARZUA";NA
"478";"Turismo rural";NA;NA;"AARZUA";NA
"479";NA;"2003";12;"AARZUA";NA
"480";NA;"2004";12;"AARZUA";NA
"481";NA;"2005";11;"AARZUA";NA
"482";NA;"2006";13;"AARZUA";NA
"483";NA;"2007";13;"AARZUA";NA
"484";NA;"2008";15;"AARZUA";NA
"485";NA;"2009";16;"AARZUA";NA
"486";NA;"2010";16;"AARZUA";NA
"487";NA;"2011";16;"AARZUA";NA
"488";NA;"2012";17;"AARZUA";NA
"489";NA;"2013";16;"AARZUA";NA
"490";NA;"2017";17;"AARZUA";NA
"491";NA;"2018";18;"AARZUA";NA
"492";NA;"2019";18;"AARZUA";NA
"493";NA;"2020";18;"AARZUA";NA
"494";NA;"2021";17;"AARZUA";NA
"495";NA;"2022";17;"AARZUA";NA
"496";"Campamentos de turismo";NA;NA;"AARZUA";NA
"497";NA;"2003";0;"AARZUA";NA
"498";NA;"2004";0;"AARZUA";NA
"499";NA;"2005";0;"AARZUA";NA
"500";NA;"2006";0;"AARZUA";NA
"501";NA;"2007";0;"AARZUA";NA
"502";NA;"2008";0;"AARZUA";NA
"503";NA;"2009";0;"AARZUA";NA
"504";NA;"2010";0;"AARZUA";NA
"505";NA;"2011";0;"AARZUA";NA
"506";NA;"2012";0;"AARZUA";NA
"507";NA;"2013";0;"AARZUA";NA
"508";NA;"2017";0;"AARZUA";NA
"509";NA;"2018";0;"AARZUA";NA
"510";NA;"2019";0;"AARZUA";NA
"511";NA;"2020";0;"AARZUA";NA
"512";NA;"2021";1;"AARZUA";NA
"513";NA;"2022";1;"AARZUA";NA
"514";"Apartamentos turísticos";NA;NA;"AARZUA";NA
"515";NA;"2003";0;"AARZUA";NA
"516";NA;"2004";0;"AARZUA";NA
"517";NA;"2005";0;"AARZUA";NA
"518";NA;"2006";0;"AARZUA";NA
"519";NA;"2007";0;"AARZUA";NA
"520";NA;"2008";1;"AARZUA";NA
"521";NA;"2009";1;"AARZUA";NA
"522";NA;"2010";1;"AARZUA";NA
"523";NA;"2011";1;"AARZUA";NA
"524";NA;"2012";1;"AARZUA";NA
"525";NA;"2013";1;"AARZUA";NA
"526";NA;"2017";2;"AARZUA";NA
"527";NA;"2018";2;"AARZUA";NA
"528";NA;"2019";2;"AARZUA";NA
"529";NA;"2020";3;"AARZUA";NA
"530";NA;"2021";3;"AARZUA";NA
"531";NA;"2022";3;"AARZUA";NA
"532";"Vivendas turísticas";NA;NA;"AARZUA";NA
"533";NA;"2003";NA;"AARZUA";NA
"534";NA;"2004";NA;"AARZUA";NA
"535";NA;"2005";NA;"AARZUA";NA
"536";NA;"2006";NA;"AARZUA";NA
"537";NA;"2007";NA;"AARZUA";NA
"538";NA;"2008";NA;"AARZUA";NA
"539";NA;"2009";NA;"AARZUA";NA
"540";NA;"2010";NA;"AARZUA";NA
"541";NA;"2011";NA;"AARZUA";NA
"542";NA;"2012";NA;"AARZUA";NA
"543";NA;"2013";NA;"AARZUA";NA
"544";NA;"2017";3;"AARZUA";NA
"545";NA;"2018";3;"AARZUA";NA
"546";NA;"2019";3;"AARZUA";NA
"547";NA;"2020";3;"AARZUA";NA
"548";NA;"2021";3;"AARZUA";NA
"549";NA;"2022";3;"AARZUA";NA
"550";"Vivendas de uso turístico";NA;NA;"AARZUA";NA
