Tipo aloxamento,Ano,Establecementos,
,2011,-0,
,2012,-0,
,2013,-0,
,2017,-0,
,2018,16,
,2019,34,
,2020,54,
,2021,64,
,2022,66,
15010,Boimorto,,
Hoteis,,,
,2003,0,
,2004,0,
,2005,0,
,2006,0,
,2007,0,
,2008,0,
,2009,0,
,2010,0,
,2011,0,
,2012,0,
,2013,0,
,2017,0,
,2018,0,
,2019,0,
,2020,0,
,2021,0,
,2022,0,
Pensións,,,
,2003,..,
,2004,..,
,2005,..,
,2006,..,
,2007,..,
,2008,..,
,2009,0,
,2010,0,
,2011,0,
,2012,0,
,2013,0,
,2017,0,
,2018,0,
,2019,1,
,2020,1,
,2021,1,
,2022,1,
Albergues turísticos,,,
,2003,..,
,2004,..,
,2005,..,
,2006,..,
,2007,..,
,2008,..,
,2009,..,
,2010,..,
,2011,..,
,2012,0,
,2013,0,
,2017,1,
,2018,2,
,2019,2,
,2020,2,
,2021,2,
,2022,2,
Turismo rural,,,
,2003,1,
,2004,2,
,2005,2,
,2006,2,
,2007,2,
,2008,2,
,2009,2,
,2010,2,
,2011,2,
,2012,2,
,2013,3,
,2017,4,
,2018,4,
,2019,4,
,2020,4,
,2021,3,
,2022,3,
Campamentos de turismo,,,
,2003,0,
,2004,0,
,2005,0,
,2006,0,
,2007,0,
,2008,0,
,2009,0,
,2010,0,
,2011,0,
,2012,0,
,2013,0,
,2017,0,
,2018,0,
,2019,0,
,2020,0,
,2021,0,
,2022,0,
Apartamentos turísticos,,,
,2003,0,
,2004,0,
,2005,0,
,2006,0,
,2007,0,
,2008,0,
,2009,0,
,2010,0,
,2011,0,
,2012,0,
,2013,0,
,2017,0,
,2018,0,
,2019,0,
,2020,0,
,2021,1,
,2022,2,
Vivendas turísticas,,,
,2003,..,
,2004,..,
,2005,..,
,2006,..,
,2007,..,
,2008,..,
,2009,..,
,2010,..,
,2011,..,
,2012,..,
,2013,..,
,2017,0,
,2018,0,
,2019,0,
,2020,0,
,2021,0,
,2022,0,
Vivendas de uso turístico,,,
,2003,-0,
,2004,-0,
,2005,-0,
,2006,-0,
,2007,-0,
,2008,-0,
,2009,-0,
,2010,-0,
,2011,-0,
,2012,-0,
,2013,-0,
,2017,-0,
,2018,2,
,2019,3,
,2020,3,
,2021,5,
,2022,4,
15066,"Pino, O",,
Hoteis,,,
,2003,2,
,2004,2,
,2005,2,
,2006,2,
,2007,2,
,2008,2,
,2009,2,
,2010,3,
,2011,3,
